Order ID,Amount,Timestamp,Customer ID,Profile Type
ORD-2000,22222,2025-10-29T11:14:50.917Z,CUST-3,fraud
ORD-2001,20000,2025-10-10T11:14:50.917Z,CUST-4,fraud
ORD-2002,19999,2025-08-19T11:14:50.917Z,CUST-3,fraud
ORD-2003,20000,2025-07-24T11:14:50.917Z,CUST-2,fraud
ORD-2004,2000,2025-11-18T11:14:50.917Z,CUST-8,fraud
ORD-2005,15000,2025-08-04T11:14:50.917Z,CUST-6,fraud
ORD-2006,12345,2025-11-22T11:14:50.917Z,CUST-4,fraud
ORD-2007,2000,2025-08-02T11:14:50.917Z,CUST-8,fraud
ORD-2008,2000,2025-07-27T11:14:50.917Z,CUST-3,fraud
ORD-2009,12345,2025-07-16T11:14:50.917Z,CUST-2,fraud
ORD-2010,20000,2025-12-12T11:14:50.917Z,CUST-5,fraud
ORD-2011,15000,2025-12-15T11:14:50.917Z,CUST-2,fraud
ORD-2012,29999,2025-09-17T11:14:50.917Z,CUST-4,fraud
ORD-2013,9999,2025-10-24T11:14:50.917Z,CUST-7,fraud
ORD-2014,9999,2025-09-05T11:14:50.917Z,CUST-1,fraud
ORD-2015,18000,2025-10-23T11:14:50.917Z,CUST-4,fraud
ORD-2016,22222,2025-07-22T11:14:50.917Z,CUST-2,fraud
ORD-2017,20000,2025-09-03T11:14:50.917Z,CUST-5,fraud
ORD-2018,22222,2025-07-30T11:14:50.917Z,CUST-3,fraud
ORD-2019,29999,2025-11-15T11:14:50.917Z,CUST-3,fraud
ORD-2020,29999,2025-10-05T11:14:50.917Z,CUST-2,fraud
ORD-2021,2000,2025-10-28T11:14:50.919Z,CUST-8,fraud
ORD-2022,2000,2026-01-08T11:14:50.919Z,CUST-5,fraud
ORD-2023,18000,2025-08-31T11:14:50.919Z,CUST-8,fraud
ORD-2024,9999,2025-10-25T11:14:50.919Z,CUST-8,fraud
ORD-2025,29999,2025-12-17T11:14:50.919Z,CUST-5,fraud
ORD-2026,5000,2025-11-12T11:14:50.919Z,CUST-4,fraud
ORD-2027,1000,2025-08-07T11:14:50.919Z,CUST-7,fraud
ORD-2028,29999,2025-12-19T11:14:50.919Z,CUST-7,fraud
ORD-2029,22222,2026-01-05T11:14:50.919Z,CUST-6,fraud
ORD-2030,19999,2025-12-06T11:14:50.919Z,CUST-7,fraud
ORD-2031,11111,2025-09-04T11:14:50.919Z,CUST-8,fraud
ORD-2032,9999,2025-12-17T11:14:50.919Z,CUST-7,fraud
ORD-2033,5000,2025-09-19T11:14:50.919Z,CUST-1,fraud
ORD-2034,33333,2025-08-29T11:14:50.919Z,CUST-5,fraud
ORD-2035,11111,2025-10-20T11:14:50.919Z,CUST-1,fraud
ORD-2036,9999,2025-11-04T11:14:50.919Z,CUST-1,fraud
ORD-2037,25000,2025-10-22T11:14:50.919Z,CUST-6,fraud
ORD-2038,22222,2025-09-04T11:14:50.919Z,CUST-2,fraud
ORD-2039,29999,2025-08-06T11:14:50.919Z,CUST-6,fraud
ORD-2040,25000,2025-12-23T11:14:50.919Z,CUST-7,fraud
ORD-2041,12345,2025-07-24T11:14:50.919Z,CUST-7,fraud
ORD-2042,2000,2025-07-13T11:14:50.919Z,CUST-3,fraud
ORD-2043,22222,2025-12-04T11:14:50.919Z,CUST-5,fraud
ORD-2044,11111,2025-09-16T11:14:50.919Z,CUST-7,fraud
ORD-2045,9999,2025-12-03T11:14:50.919Z,CUST-3,fraud
ORD-2046,15000,2025-08-17T11:14:50.919Z,CUST-6,fraud
ORD-2047,20000,2025-11-05T11:14:50.919Z,CUST-4,fraud
ORD-2048,25000,2025-10-29T11:14:50.919Z,CUST-1,fraud
ORD-2049,29999,2025-12-27T11:14:50.919Z,CUST-1,fraud
ORD-2050,5000,2025-08-13T11:14:50.919Z,CUST-3,fraud
ORD-2051,22222,2026-01-03T11:14:50.920Z,CUST-2,fraud
ORD-2052,18000,2025-09-26T11:14:50.920Z,CUST-1,fraud
ORD-2053,12345,2025-11-07T11:14:50.920Z,CUST-1,fraud
ORD-2054,9999,2025-11-14T11:14:50.920Z,CUST-2,fraud
ORD-2055,10000,2025-07-15T11:14:50.920Z,CUST-8,fraud
ORD-2056,22222,2026-01-08T11:14:50.920Z,CUST-6,fraud
ORD-2057,1000,2025-11-20T11:14:50.920Z,CUST-5,fraud
ORD-2058,12345,2025-10-25T11:14:50.920Z,CUST-7,fraud
ORD-2059,29999,2025-07-15T11:14:50.920Z,CUST-8,fraud
ORD-2060,2000,2025-11-04T11:14:50.920Z,CUST-4,fraud
ORD-2061,29999,2026-01-01T11:14:50.920Z,CUST-6,fraud
ORD-2062,9999,2025-12-29T11:14:50.920Z,CUST-1,fraud
ORD-2063,12345,2026-01-08T11:14:50.920Z,CUST-5,fraud
ORD-2064,15000,2025-10-25T11:14:50.920Z,CUST-3,fraud
ORD-2065,9999,2025-11-17T11:14:50.920Z,CUST-2,fraud
ORD-2066,25000,2025-11-06T11:14:50.920Z,CUST-2,fraud
ORD-2067,33333,2025-10-14T11:14:50.920Z,CUST-3,fraud
ORD-2068,1000,2025-12-02T11:14:50.920Z,CUST-3,fraud
ORD-2069,11111,2025-09-11T11:14:50.920Z,CUST-1,fraud
ORD-2070,22222,2025-11-15T11:14:50.920Z,CUST-6,fraud
ORD-2071,5000,2025-12-09T11:14:50.920Z,CUST-2,fraud
ORD-2072,10000,2025-08-12T11:14:50.920Z,CUST-7,fraud
ORD-2073,22222,2025-12-15T11:14:50.920Z,CUST-4,fraud
ORD-2074,10000,2025-09-04T11:14:50.920Z,CUST-5,fraud
ORD-2075,29999,2026-01-06T11:14:50.920Z,CUST-1,fraud
ORD-2076,20000,2025-09-21T11:14:50.920Z,CUST-2,fraud
ORD-2077,29999,2025-10-24T11:14:50.920Z,CUST-8,fraud
ORD-2078,22222,2026-01-06T11:14:50.920Z,CUST-3,fraud
ORD-2079,18000,2025-11-09T11:14:50.920Z,CUST-4,fraud
ORD-2080,2000,2025-12-29T11:14:50.920Z,CUST-3,fraud
ORD-2081,5000,2025-07-21T11:14:50.920Z,CUST-6,fraud
ORD-2082,11111,2025-12-28T11:14:50.920Z,CUST-5,fraud
ORD-2083,1000,2025-10-09T11:14:50.920Z,CUST-3,fraud
ORD-2084,18000,2025-12-29T11:14:50.920Z,CUST-7,fraud
ORD-2085,15000,2025-09-25T11:14:50.920Z,CUST-3,fraud
ORD-2086,10000,2025-12-10T11:14:50.920Z,CUST-2,fraud
ORD-2087,10000,2025-11-06T11:14:50.920Z,CUST-6,fraud
ORD-2088,22222,2025-12-24T11:14:50.920Z,CUST-6,fraud
ORD-2089,18000,2025-10-10T11:14:50.920Z,CUST-8,fraud
ORD-2090,19999,2025-07-16T11:14:50.920Z,CUST-1,fraud
ORD-2091,5000,2026-01-03T11:14:50.920Z,CUST-7,fraud
ORD-2092,19999,2025-08-29T11:14:50.920Z,CUST-3,fraud
ORD-2093,5000,2025-10-19T11:14:50.920Z,CUST-2,fraud
ORD-2094,1000,2025-12-21T11:14:50.920Z,CUST-1,fraud
ORD-2095,18000,2026-01-05T11:14:50.920Z,CUST-2,fraud
ORD-2096,20000,2025-08-17T11:14:50.920Z,CUST-1,fraud
ORD-2097,18000,2025-11-11T11:14:50.920Z,CUST-8,fraud
ORD-2098,19999,2025-08-04T11:14:50.920Z,CUST-2,fraud
ORD-2099,1000,2025-08-05T11:14:50.920Z,CUST-5,fraud
