Order ID,Amount,Timestamp,Customer ID,Profile Type
ORD-1000,9355.01,2025-08-25T11:14:50.910Z,CUST-184,honest
ORD-1001,1728.76,2025-09-11T11:14:50.912Z,CUST-221,honest
ORD-1002,5879.04,2025-12-02T11:14:50.912Z,CUST-389,honest
ORD-1003,161.65,2025-04-27T11:14:50.912Z,CUST-469,honest
ORD-1004,8582.94,2025-09-26T11:14:50.912Z,CUST-479,honest
ORD-1005,742.28,2025-03-23T11:14:50.912Z,CUST-453,honest
ORD-1006,36.98,2025-01-29T11:14:50.912Z,CUST-133,honest
ORD-1007,25.39,2025-12-10T11:14:50.912Z,CUST-239,honest
ORD-1008,97.58,2025-09-12T11:14:50.912Z,CUST-123,honest
ORD-1009,1691.44,2025-01-28T11:14:50.912Z,CUST-12,honest
ORD-1010,5360.95,2025-06-12T11:14:50.912Z,CUST-113,honest
ORD-1011,151.66,2025-04-21T11:14:50.912Z,CUST-74,honest
ORD-1012,26.24,2025-01-28T11:14:50.912Z,CUST-473,honest
ORD-1013,4013.1,2025-07-25T11:14:50.912Z,CUST-321,honest
ORD-1014,458.3,2025-07-18T11:14:50.912Z,CUST-223,honest
ORD-1015,75.03,2025-10-20T11:14:50.912Z,CUST-155,honest
ORD-1016,1912.06,2025-11-05T11:14:50.912Z,CUST-482,honest
ORD-1017,12.08,2025-11-21T11:14:50.912Z,CUST-124,honest
ORD-1018,28.52,2025-09-25T11:14:50.912Z,CUST-309,honest
ORD-1019,161.01,2025-12-13T11:14:50.912Z,CUST-405,honest
ORD-1020,1290.78,2025-06-07T11:14:50.912Z,CUST-264,honest
ORD-1021,620.05,2025-08-07T11:14:50.912Z,CUST-368,honest
ORD-1022,61.18,2025-02-03T11:14:50.912Z,CUST-184,honest
ORD-1023,31.25,2025-02-18T11:14:50.912Z,CUST-328,honest
ORD-1024,6885.54,2025-06-10T11:14:50.912Z,CUST-105,honest
ORD-1025,40.49,2025-01-29T11:14:50.912Z,CUST-172,honest
ORD-1026,644.2,2025-09-18T11:14:50.912Z,CUST-249,honest
ORD-1027,130.36,2025-05-03T11:14:50.912Z,CUST-292,honest
ORD-1028,36.83,2025-08-26T11:14:50.912Z,CUST-323,honest
ORD-1029,42.38,2025-11-09T11:14:50.912Z,CUST-223,honest
ORD-1030,234.13,2025-01-17T11:14:50.912Z,CUST-115,honest
ORD-1031,29.83,2025-08-01T11:14:50.912Z,CUST-10,honest
ORD-1032,155.74,2025-12-02T11:14:50.912Z,CUST-100,honest
ORD-1033,182.17,2025-08-06T11:14:50.912Z,CUST-197,honest
ORD-1034,5747.68,2025-11-23T11:14:50.912Z,CUST-102,honest
ORD-1035,1989.92,2025-08-06T11:14:50.912Z,CUST-334,honest
ORD-1036,20.64,2025-07-04T11:14:50.912Z,CUST-81,honest
ORD-1037,1272,2026-01-02T11:14:50.912Z,CUST-309,honest
ORD-1038,166.21,2025-09-22T11:14:50.912Z,CUST-364,honest
ORD-1039,1758.66,2025-07-19T11:14:50.912Z,CUST-397,honest
ORD-1040,2505.12,2025-01-17T11:14:50.912Z,CUST-461,honest
ORD-1041,38.82,2025-10-03T11:14:50.912Z,CUST-199,honest
ORD-1042,9892.02,2025-08-30T11:14:50.912Z,CUST-353,honest
ORD-1043,97.25,2025-10-16T11:14:50.912Z,CUST-272,honest
ORD-1044,30.93,2025-03-21T11:14:50.912Z,CUST-205,honest
ORD-1045,31.02,2025-02-22T11:14:50.912Z,CUST-401,honest
ORD-1046,114.63,2025-10-15T11:14:50.912Z,CUST-431,honest
ORD-1047,1218.45,2025-06-15T11:14:50.912Z,CUST-285,honest
ORD-1048,15.94,2025-07-25T11:14:50.912Z,CUST-108,honest
ORD-1049,18.11,2025-11-22T11:14:50.912Z,CUST-268,honest
